_id.$oid,cast
573a1390f29313caabcd4135,Charles Kayser
573a1390f29313caabcd4135,John Ott
573a1390f29313caabcd42e8,A.C. Abadie
573a1390f29313caabcd42e8,Gilbert M. 'Broncho Billy' Anderson
573a1390f29313caabcd42e8,George Barnes
573a1390f29313caabcd42e8,Justus D. Barnes
573a1390f29313caabcd4323,Martin Fuller
573a1390f29313caabcd4323,Mrs. William Bechtel
573a1390f29313caabcd4323,Walter Edwin
573a1390f29313caabcd4323,Ethel Jewett
573a1390f29313caabcd446f,Frank Powell
573a1390f29313caabcd446f,Grace Henderson
573a1390f29313caabcd446f,James Kirkwood
573a1390f29313caabcd446f,Linda Arvidson
573a1390f29313caabcd4803,Winsor McCay
573a1390f29313caabcd4eaf,Jane Gail
573a1390f29313caabcd4eaf,Ethel Grandin
573a1390f29313caabcd4eaf,William H. Turner
573a1390f29313caabcd4eaf,Matt Moore
573a1390f29313caabcd50e5,Winsor McCay
573a1390f29313caabcd50e5,George McManus
573a1390f29313caabcd50e5,Roy L. McCardell
573a1390f29313caabcd516c,Stanley Hunt
573a1390f29313caabcd516c,Sarah Constance Smith Hunt
573a1390f29313caabcd516c,Mrs. George Walkus
573a1390f29313caabcd516c,Paddy 'Malid
573a1390f29313caabcd5293,Pearl White
573a1390f29313caabcd5293,Crane Wilbur
573a1390f29313caabcd5293,Paul Panzer
573a1390f29313caabcd5293,Edward Josè
573a1390f29313caabcd548c,Lillian Gish
573a1390f29313caabcd548c,Mae Marsh
573a1390f29313caabcd548c,Henry B. Walthall
573a1390f29313caabcd548c,Miriam Cooper
573a1390f29313caabcd5501,Fannie Ward
573a1390f29313caabcd5501,Sessue Hayakawa
573a1390f29313caabcd5501,Jack Dean
573a1390f29313caabcd5501,James Neill
573a1390f29313caabcd56df,George Beban
573a1390f29313caabcd56df,Clara Williams
573a1390f29313caabcd56df,J. Frank Burke
573a1390f29313caabcd56df,Leo Willis
573a1390f29313caabcd587d,John McCann
573a1390f29313caabcd587d,James A. Marcus
573a1390f29313caabcd587d,Maggie Weston
573a1390f29313caabcd587d,Harry McCoy
573a1390f29313caabcd5967,Musidora
573a1390f29313caabcd5967,èdouard Mathè
573a1390f29313caabcd5967,Marcel Lèvesque
573a1390f29313caabcd5967,Jean Aymè
573a1390f29313caabcd5a93,Howard C. Hickman
573a1390f29313caabcd5a93,Enid Markey
573a1390f29313caabcd5a93,Lola May
573a1390f29313caabcd5a93,Kate Bruce
573a1390f29313caabcd5b9a,William S. Hart
573a1390f29313caabcd5b9a,Clara Williams
573a1390f29313caabcd5b9a,Jack Standing
573a1390f29313caabcd5b9a,Alfred Hollingsworth
573a1390f29313caabcd5c0f,Lillian Gish
573a1390f29313caabcd5c0f,Spottiswoode Aitken
573a1390f29313caabcd5c0f,Mary Alden
573a1390f29313caabcd5c0f,Frank Bennett
573a1390f29313caabcd5ea4,Tyrone Power Sr.
573a1390f29313caabcd5ea4,Helen Riaume
573a1390f29313caabcd5ea4,Marie Walcamp
573a1390f29313caabcd5ea4,Cora Drew
573a1390f29313caabcd60e4,Charles Chaplin
573a1390f29313caabcd60e4,Edna Purviance
573a1390f29313caabcd60e4,Eric Campbell
573a1390f29313caabcd60e4,Albert Austin
573a1390f29313caabcd6223,Mary Pickford
573a1390f29313caabcd6223,Madlaine Traverse
