_id.$oid,directors
573a1390f29313caabcd4135,William K.L. Dickson
573a1390f29313caabcd42e8,Edwin S. Porter
573a1390f29313caabcd4323,Harold M. Shaw
573a1390f29313caabcd446f,D.W. Griffith
573a1390f29313caabcd4803,Winsor McCay
573a1390f29313caabcd4803,J. Stuart Blackton
573a1390f29313caabcd4eaf,George Loane Tucker
573a1390f29313caabcd50e5,Winsor McCay
573a1390f29313caabcd516c,Edward S. Curtis
573a1390f29313caabcd5293,Louis J. Gasnier
573a1390f29313caabcd5293,Donald MacKenzie
573a1390f29313caabcd548c,D.W. Griffith
573a1390f29313caabcd5501,Cecil B. DeMille
573a1390f29313caabcd56df,Reginald Barker
573a1390f29313caabcd587d,Raoul Walsh
573a1390f29313caabcd5967,Louis Feuillade
573a1390f29313caabcd5a93,Reginald Barker
573a1390f29313caabcd5a93,Thomas H. Ince
573a1390f29313caabcd5a93,Raymond B. West
573a1390f29313caabcd5a93,Walter Edwards
573a1390f29313caabcd5a93,David Hartford
573a1390f29313caabcd5a93,Jay Hunt
573a1390f29313caabcd5a93,J. Parker Read Jr.
573a1390f29313caabcd5b9a,Charles Swickard
573a1390f29313caabcd5b9a,William S. Hart
573a1390f29313caabcd5b9a,Clifford Smith
573a1390f29313caabcd5c0f,D.W. Griffith
573a1390f29313caabcd5ea4,Phillips Smalley
573a1390f29313caabcd5ea4,Lois Weber
573a1390f29313caabcd60e4,Charles Chaplin
573a1390f29313caabcd6223,Maurice Tourneur
573a1390f29313caabcd6377,John Emerson
573a1390f29313caabcd63d6,Maurice Tourneur
573a1390f29313caabcd680a,D.W. Griffith
573a1391f29313caabcd68d0,Alfred J. Goulding
573a1391f29313caabcd68d0,Hal Roach
573a1391f29313caabcd6d40,Hal Roach
573a1391f29313caabcd6d90,Clarence Brown
573a1391f29313caabcd6d90,Maurice Tourneur
573a1391f29313caabcd6e2a,Edward F. Cline
573a1391f29313caabcd6e2a,Buster Keaton
573a1391f29313caabcd6ea2,Herbert Blachè
573a1391f29313caabcd6ea2,Winchell Smith
573a1391f29313caabcd6f8f,Oscar Micheaux
573a1391f29313caabcd6f98,Wallace Worsley
573a1391f29313caabcd70b4,Rex Ingram
573a1391f29313caabcd715c,Charles Chaplin
573a1391f29313caabcd71e3,William C. de Mille
573a1391f29313caabcd71f5,Fred C. Newmeyer
573a1391f29313caabcd71f5,Hal Roach
573a1391f29313caabcd72f0,Henry King
573a1391f29313caabcd73f4,Edward F. Cline
573a1391f29313caabcd73f4,Buster Keaton
573a1391f29313caabcd7472,Erich von Stroheim
573a1391f29313caabcd7586,Robert J. Flaherty
573a1391f29313caabcd75b5,F.W. Murnau
573a1391f29313caabcd7616,Charles Bryant
573a1391f29313caabcd7616,Alla Nazimova
573a1391f29313caabcd7626,Allan Dwan
573a1391f29313caabcd7850,Wallace Worsley
573a1391f29313caabcd7915,John G. Blystone
573a1391f29313caabcd7915,Buster Keaton
573a1391f29313caabcd796e,Fred C. Newmeyer
573a1391f29313caabcd796e,Sam Taylor
573a1391f29313caabcd79e4,Edward F. Cline
573a1391f29313caabcd79e4,Buster Keaton
573a1391f29313caabcd7a34,Charles Chaplin
573a1391f29313caabcd7ac4,Lewis H. Moomaw
573a1391f29313caabcd7b98,Victor Sjèstrèm
573a1391f29313caabcd7bc3,John Ford
573a1391f29313caabcd7c4c,Donald Crisp
573a1391f29313caabcd7c4c,Buster Keaton
573a1391f29313caabcd7c9e,Herbert Brenon
573a1391f29313caabcd7d02,Buster Keaton
573a1391f29313caabcd7d4e,Raoul Walsh
573a1391f29313caabcd7da6,King Vidor
573a1391f29313caabcd7db6,Graham Cutts
573a1391f29313caabcd7e23,King Vidor
573a1391f29313caabcd7e23,George W. Hill
573a1391f29313caabcd7e30,Sergei M. Eisenstein
573a1391f29313caabcd7e6e,Noel M. Smith
573a1391f29313caabcd7f07,Fred C. Newmeyer
573a1391f29313caabcd7f07,Sam Taylor
573a1391f29313caabcd7f08,Buster Keaton
573a1391f29313caabcd7f11,Merian C. Cooper
573a1391f29313caabcd7f11,Ernest B. Schoedsack
573a1391f29313caabcd7f19,Erich von Stroheim
573a1391f29313caabcd7f27,Charles Chaplin
573a1391f29313caabcd7faa,Ernst Lubitsch
