_id.$oid,writers
573a1390f29313caabcd4323,Dorothy G. Shore
573a1390f29313caabcd4803,Winsor McCay (comic strip \Little Nemo in Slumberland\)
573a1390f29313caabcd4803,Winsor McCay (screenplay)
573a1390f29313caabcd50e5,Winsor McCay
573a1390f29313caabcd516c,Edward S. Curtis (story)
573a1390f29313caabcd5293,Charles W. Goddard (screenplay)
573a1390f29313caabcd5293,Basil Dickey (screenplay)
573a1390f29313caabcd5293,Charles W. Goddard (novel)
573a1390f29313caabcd5293,George B. Seitz
573a1390f29313caabcd5293,Bertram Millhauser
573a1390f29313caabcd548c,Thomas Dixon Jr. (adapted from his novel: \The Clansman: An Historical Romance of the Ku Klux Klan\)
573a1390f29313caabcd548c,Thomas Dixon Jr. (play)
573a1390f29313caabcd548c,Thomas Dixon Jr. (novel)
573a1390f29313caabcd548c,D.W. Griffith
573a1390f29313caabcd548c,Frank E. Woods
573a1390f29313caabcd5501,Hector Turnbull (scenario)
573a1390f29313caabcd5501,Jeanie Macpherson (scenario)
573a1390f29313caabcd56df,Thomas H. Ince (story)
573a1390f29313caabcd56df,C. Gardner Sullivan (story)
573a1390f29313caabcd587d,Owen Frawley Kildare (book)
573a1390f29313caabcd587d,Raoul Walsh (adapted from the book: \My Mamie Rose\)
573a1390f29313caabcd587d,Carl Harbaugh (adapted from the book: \My Mamie Rose\)
573a1390f29313caabcd5967,Louis Feuillade
573a1390f29313caabcd5a93,C. Gardner Sullivan
573a1390f29313caabcd5b9a,C. Gardner Sullivan (screenplay)
573a1390f29313caabcd5b9a,C. Gardner Sullivan (story)
573a1390f29313caabcd5c0f,D.W. Griffith (scenario)
573a1390f29313caabcd5c0f,Anita Loos (titles)
573a1390f29313caabcd5ea4,Lucy Payton (from the story by)
573a1390f29313caabcd5ea4,Franklin Hall (from the story by)
573a1390f29313caabcd5ea4,Lois Weber
573a1390f29313caabcd5ea4,Phillips Smalley
573a1390f29313caabcd6223,Eleanor Gates (play)
573a1390f29313caabcd6223,Frances Marion (scenario)
573a1390f29313caabcd6377,Horace B. Carpenter (story)
573a1390f29313caabcd6377,John Emerson
573a1390f29313caabcd6377,Anita Loos
573a1390f29313caabcd63d6,Maurice Maeterlinck (play)
573a1390f29313caabcd63d6,Charles Maigne
573a1390f29313caabcd680a,Thomas Burke (adapted from a story by)
573a1390f29313caabcd680a,D.W. Griffith
573a1391f29313caabcd68d0,H.M. Walker (titles)
573a1391f29313caabcd6d40,Frank Terry (story)
573a1391f29313caabcd6d40,H.M. Walker (titles)
573a1391f29313caabcd6d90,James Fenimore Cooper (novel)
